Unnamed: 0,ds,y,unique_id
3583341,2020-07-17 18:00:00,232.0,109
5583577,2020-04-06 11:00:00,3.0,170
6897688,2020-05-12 18:00:00,107.0,210
105529,2020-10-20 12:00:00,199.0,3
3516158,2020-05-15 09:00:00,12.0,107
2434831,2020-08-10 17:00:00,183.0,74
6706791,2021-01-21 11:00:00,7.0,204
2997189,2021-02-03 00:00:00,413.0,91
1383278,2020-07-01 16:00:00,418.0,42
2402152,2020-08-17 01:00:00,53.0,73
1286864,2020-09-26 07:00:00,38.0,39
2595579,2020-03-21 18:00:00,151.0,79
7262123,2020-09-27 00:00:00,178.0,221
3122057,2020-05-10 00:00:00,223.0,95
1586883,2021-04-03 11:00:00,401.0,48
3355071,2020-09-20 05:00:00,52.0,102
534302,2021-01-10 14:00:00,443.0,16
7359491,2020-08-11 03:00:00,218.0,224
5821016,2021-02-18 01:00:00,83.0,177
6675518,2021-03-27 09:00:00,7.0,203
2802781,2021-05-21 10:00:00,6.0,85
6897313,2020-04-27 03:00:00,6.0,210
5194450,2020-10-25 08:00:00,29.0,158
2038831,2020-05-18 05:00:00,5.0,62
4892197,2020-01-17 02:00:00,152.0,149
5723466,2021-03-29 08:00:00,6.0,174
1515650,2020-08-14 08:00:00,31.0,46
1814403,2020-12-28 18:00:00,102.0,55
6373151,2020-06-13 09:00:00,9.0,194
2861905,2020-08-22 00:00:00,110.0,87
7691632,2021-01-17 18:00:00,66.0,234
5712747,2020-01-07 17:00:00,36.0,174
3853858,2021-06-10 15:00:00,6.0,117
4237215,2020-03-25 08:00:00,3.0,129
2757996,2020-01-09 08:00:00,197.0,84
7520744,2020-04-12 05:00:00,3.0,229
1021575,2020-06-08 06:00:00,76.0,31
2727272,2020-04-06 03:00:00,31.0,83
7032205,2020-09-22 19:00:00,80.0,214
3390990,2021-01-26 21:00:00,270.0,103
1313384,2020-01-07 08:00:00,101.0,40
4833570,2020-11-05 05:00:00,52.0,147
2335874,2020-07-22 09:00:00,33.0,71
6569072,2020-04-30 00:00:00,26.0,200
1257057,2021-01-30 07:00:00,21.0,38
3947997,2020-12-11 05:00:00,148.0,120
2170725,2020-06-10 23:00:00,89.0,66
3427327,2021-06-21 23:00:00,8.0,104
1450990,2020-09-25 02:00:00,67.0,44
6869710,2020-11-30 23:00:00,87.0,209
1716084,2021-01-05 00:00:00,164.0,52
1413688,2020-03-22 19:00:00,171.0,43
6996359,2020-05-20 04:00:00,45.0,213
3258134,2020-11-24 01:00:00,467.0,99
7104423,2021-06-22 23:00:00,3.0,216
564613,2020-09-27 14:00:00,11.0,17
4180011,2021-03-12 18:00:00,127.0,127
6242403,2020-07-07 09:00:00,83.0,190
733283,2021-04-03 17:00:00,95.0,22
7554058,2020-05-02 08:00:00,1.0,230
1281166,2020-02-01 21:00:00,690.0,39
727017,2020-07-16 15:00:00,101.0,22
7004568,2021-04-27 05:00:00,60.0,213
5623546,2021-01-28 21:00:00,180.0,171
887320,2020-02-07 03:00:00,64.0,27
7328350,2020-10-20 13:00:00,126.0,223
4838194,2021-05-16 21:00:00,65.0,147
3919525,2021-06-10 20:00:00,25.0,119
4701658,2020-10-11 17:00:00,139.0,143
7689044,2020-10-01 22:00:00,160.0,234
6404745,2020-04-22 20:00:00,18.0,195
6996301,2020-05-17 18:00:00,151.0,213
6863304,2020-03-09 01:00:00,23.0,209
2767122,2021-01-23 14:00:00,412.0,84
4996997,2020-10-05 21:00:00,69.0,152
7465538,2021-06-21 21:00:00,5.0,227
2137159,2020-05-11 08:00:00,14.0,65
2800347,2021-02-09 00:00:00,71.0,85
4310968,2021-02-25 11:00:00,90.0,131
2140639,2020-10-03 08:00:00,37.0,65
6900668,2020-09-13 22:00:00,64.0,210
7684898,2020-04-12 04:00:00,7.0,234
1842361,2020-06-08 17:00:00,80.0,56
140906,2021-02-03 14:00:00,297.0,4
6474938,2020-10-28 15:00:00,58.0,197
4438504,2020-09-20 15:00:00,542.0,135
271894,2021-01-20 14:00:00,16.0,8
633626,2021-02-14 05:00:00,53.0,19
3582518,2020-06-13 11:00:00,36.0,109
7328458,2020-10-25 01:00:00,85.0,223
5557972,2021-02-01 13:00:00,152.0,169
4240685,2020-08-16 22:00:00,191.0,129
6571939,2020-08-27 11:00:00,46.0,200
6480320,2021-06-09 21:00:00,5.0,197
5781972,2020-06-04 04:00:00,31.0,176
569781,2021-04-30 22:00:00,11.0,17
4213720,2021-04-18 08:00:00,4.0,128
6806386,2021-03-08 09:00:00,43.0,207
5429837,2021-06-14 10:00:00,7.0,165
5356088,2020-07-12 11:00:00,11.0,163
495315,2020-04-29 02:00:00,16.0,15
7029394,2020-05-28 16:00:00,75.0,214
5198097,2021-03-26 07:00:00,36.0,158
7035139,2021-01-23 01:00:00,100.0,214
1846153,2020-11-13 17:00:00,76.0,56
2201135,2020-03-02 02:00:00,54.0,67
7584290,2020-01-15 01:00:00,111.0,231
4834851,2020-12-28 14:00:00,55.0,147
3679317,2020-04-03 21:00:00,20.0,112
3845366,2020-06-21 19:00:00,76.0,117
7454721,2020-03-28 04:00:00,31.0,227
986569,2020-03-09 15:00:00,580.0,30
173597,2021-01-28 18:00:00,143.0,5
3119096,2020-01-07 15:00:00,170.0,95
3130341,2021-04-20 04:00:00,226.0,95
1580784,2020-07-23 08:00:00,75.0,48
6340737,2020-06-30 18:00:00,162.0,193
3557349,2021-04-28 17:00:00,128.0,108
5421780,2020-07-13 17:00:00,217.0,165
3919198,2021-05-28 05:00:00,9.0,119
5615325,2020-02-21 08:00:00,21.0,171
1479073,2020-03-11 06:00:00,24.0,45
6834466,2020-08-22 10:00:00,148.0,208
6468200,2020-01-21 21:00:00,219.0,197
3981819,2021-01-21 12:00:00,99.0,121
4008706,2020-05-18 20:00:00,70.0,122
7787862,2020-10-15 11:00:00,26.0,237
2075106,2020-10-08 17:00:00,148.0,63
2265731,2020-01-17 16:00:00,164.0,69
3426525,2021-05-19 13:00:00,39.0,104
4700681,2020-09-01 00:00:00,93.0,143
5951062,2020-12-26 19:00:00,174.0,181
6177831,2020-08-21 19:00:00,265.0,188
4310377,2021-01-31 20:00:00,550.0,131
7293014,2020-07-08 04:00:00,21.0,222
7390889,2020-06-12 10:00:00,27.0,225
73106,2020-11-06 12:00:00,29.0,2
664475,2020-11-23 15:00:00,264.0,20
5320265,2020-03-09 19:00:00,184.0,162
7555976,2020-07-21 06:00:00,16.0,230
6472448,2020-07-16 21:00:00,101.0,197
5427797,2021-03-21 10:00:00,17.0,165
2372131,2020-12-12 03:00:00,68.0,72
3063503,2021-03-02 04:00:00,448.0,93
4572510,2021-01-10 09:00:00,86.0,139
1415609,2020-06-10 20:00:00,789.0,43
6147592,2020-12-07 19:00:00,3026.0,187
1582038,2020-09-13 14:00:00,638.0,48
5915226,2020-08-23 14:00:00,100.0,180
7651458,2020-03-17 19:00:00,74.0,233
6173643,2020-02-29 07:00:00,43.0,188
3653755,2021-01-31 18:00:00,24.0,111
1747774,2020-11-18 11:00:00,30.0,53
2210050,2021-03-08 13:00:00,19.0,67
3228556,2021-04-08 14:00:00,157.0,98
3418822,2020-07-02 14:00:00,434.0,104
1087504,2020-06-19 09:00:00,27.0,33
297143,2020-03-10 16:00:00,463.0,9
174931,2021-03-25 08:00:00,18.0,5
4045792,2020-11-12 03:00:00,114.0,123
3710837,2020-02-09 06:00:00,505.0,113
7495129,2021-02-06 21:00:00,181.0,228
6215570,2021-03-14 07:00:00,24.0,189
1883945,2021-06-08 10:00:00,0.0,57
1850000,2021-04-23 00:00:00,77.0,56
7332599,2021-04-15 14:00:00,169.0,223
106697,2020-12-08 04:00:00,199.0,3
5920359,2021-03-25 11:00:00,52.0,180
5100538,2021-05-04 05:00:00,22.0,155
7230141,2020-11-01 09:00:00,13.0,220
169849,2020-08-25 14:00:00,117.0,5
1810931,2020-08-06 02:00:00,51.0,55
1021037,2020-05-16 20:00:00,277.0,31
564020,2020-09-02 21:00:00,5.0,17
7653450,2020-06-08 19:00:00,54.0,233
1906882,2020-04-22 04:00:00,22.0,58
4465204,2020-01-09 04:00:00,155.0,136
5655487,2020-12-22 19:00:00,191.0,172
335365,2020-10-21 07:00:00,282.0,10
862860,2021-01-20 22:00:00,480.0,26
7659901,2021-03-04 14:00:00,54.0,233
1911262,2020-10-21 16:00:00,362.0,58
5493624,2021-03-28 07:00:00,32.0,167
6903324,2021-01-02 14:00:00,18.0,210
7360423,2020-09-18 23:00:00,558.0,224
75303,2021-02-06 01:00:00,40.0,2
1349586,2020-05-26 19:00:00,236.0,41
2274693,2021-01-25 02:00:00,96.0,69
7687948,2020-08-17 06:00:00,15.0,234
4208650,2020-09-19 02:00:00,44.0,128
6703785,2020-09-18 05:00:00,23.0,204
1449607,2020-07-29 11:00:00,16.0,44
2634470,2020-11-29 06:00:00,220.0,80
144198,2021-06-20 18:00:00,899.0,4
3033289,2021-06-19 05:00:00,2.0,92
7682512,2020-01-03 18:00:00,165.0,234
7453073,2020-01-19 12:00:00,108.0,227
7749670,2020-03-06 02:00:00,337.0,236
3321509,2020-08-20 18:00:00,81.0,101
7038746,2021-06-22 08:00:00,5.0,214
400699,2020-10-07 15:00:00,672.0,12
1353319,2020-10-29 08:00:00,8.0,41
3909758,2020-04-29 21:00:00,37.0,119
1386821,2020-11-26 07:00:00,40.0,42
1281408,2020-02-11 23:00:00,468.0,39
2704425,2021-05-27 03:00:00,9.0,82
4830233,2020-06-19 04:00:00,81.0,147
298603,2020-05-10 12:00:00,187.0,9
7618842,2020-03-26 18:00:00,19.0,232
1019632,2020-03-19 07:00:00,40.0,31
6248039,2021-02-27 05:00:00,433.0,190
4142466,2020-08-28 08:00:00,174.0,126
2530332,2020-04-08 01:00:00,1.0,77
7194211,2020-06-25 06:00:00,14.0,219
5811606,2020-01-22 23:00:00,115.0,177
5221656,2020-03-04 23:00:00,1524.0,159
6928980,2020-03-09 15:00:00,223.0,211
2736587,2021-04-29 06:00:00,34.0,83
5946759,2020-06-30 12:00:00,37.0,181
2599291,2020-08-23 10:00:00,11.0,79
1915207,2021-04-04 01:00:00,178.0,58
4859820,2020-02-05 00:00:00,89.0,148
3849418,2020-12-07 15:00:00,41.0,117
892162,2020-08-26 21:00:00,51.0,27
3323760,2020-11-22 13:00:00,20.0,101
4272508,2020-07-05 22:00:00,1666.0,130
5751541,2020-09-12 04:00:00,11.0,175
5230890,2021-03-24 17:00:00,896.0,159
530643,2020-08-11 03:00:00,612.0,16
1609714,2020-02-11 19:00:00,962.0,49
7132823,2020-12-20 08:00:00,110.0,217
460523,2020-02-07 09:00:00,63.0,14
7496850,2021-04-19 14:00:00,159.0,228
1740073,2020-01-02 14:00:00,133.0,53
5979256,2020-06-16 14:00:00,185.0,182
3058689,2020-08-13 14:00:00,399.0,93
6569365,2020-05-12 05:00:00,14.0,200
4176788,2020-10-29 11:00:00,41.0,127
859076,2020-08-16 06:00:00,119.0,26
7692058,2021-02-04 12:00:00,29.0,234
3189268,2020-07-13 13:00:00,60.0,97
2700415,2020-12-11 01:00:00,171.0,82
3055436,2020-03-31 01:00:00,41.0,93
7555221,2020-06-19 19:00:00,101.0,230
7551991,2020-02-06 05:00:00,83.0,230
4371071,2020-07-08 20:00:00,61.0,133
3813220,2020-07-20 08:00:00,277.0,116
1022890,2020-08-02 01:00:00,286.0,31
1871411,2020-01-03 04:00:00,98.0,57
2735648,2021-03-21 03:00:00,291.0,83
1813431,2020-11-18 06:00:00,19.0,55
4211876,2021-01-31 12:00:00,22.0,128
4634914,2020-08-27 15:00:00,32.0,141
2441186,2021-05-02 12:00:00,22.0,74
3983449,2021-03-30 10:00:00,78.0,121
2925540,2020-05-29 13:00:00,135.0,89
598703,2020-11-19 01:00:00,1702.0,18
3351231,2020-04-13 05:00:00,9.0,102
5264582,2021-04-29 14:00:00,12.0,160
854479,2020-02-06 17:00:00,412.0,26
2662700,2020-05-21 13:00:00,61.0,81
395583,2020-03-08 11:00:00,308.0,12
7029857,2020-06-16 23:00:00,103.0,214
5790531,2021-05-26 19:00:00,58.0,176
4137720,2020-02-12 14:00:00,781.0,126
1645161,2020-05-30 19:00:00,309.0,50
7624697,2020-11-25 17:00:00,77.0,232
2599969,2020-09-20 16:00:00,172.0,79
7229379,2020-09-30 15:00:00,77.0,220
2234869,2020-04-08 17:00:00,27.0,68
4074833,2020-06-07 05:00:00,32.0,124
5491980,2021-01-18 19:00:00,99.0,167
3549710,2020-06-14 10:00:00,17.0,108
1154626,2020-08-19 05:00:00,8.0,35
1817840,2021-05-20 23:00:00,73.0,55
5987395,2021-05-21 17:00:00,182.0,182
2922231,2020-01-12 16:00:00,277.0,89
3122446,2020-05-26 05:00:00,62.0,95
7389838,2020-04-29 15:00:00,247.0,225
2201358,2020-03-11 09:00:00,5.0,67
4766468,2020-09-06 05:00:00,63.0,145
173200,2021-01-12 05:00:00,75.0,5
3546144,2020-01-17 20:00:00,170.0,108
6578591,2021-05-31 15:00:00,17.0,200
4992145,2020-03-17 17:00:00,39.0,152
4044227,2020-09-07 22:00:00,172.0,123
2997666,2021-02-22 21:00:00,232.0,91
5747467,2020-03-26 10:00:00,1.0,175
3094281,2020-12-06 15:00:00,160.0,94
6965793,2020-08-22 13:00:00,21.0,212
1552041,2021-01-09 16:00:00,45.0,47
3354974,2020-09-16 04:00:00,45.0,102
6015249,2020-10-26 08:00:00,2.0,183
2368157,2020-06-29 13:00:00,85.0,72
2429769,2020-01-12 19:00:00,91.0,74
4961309,2020-06-08 20:00:00,30.0,151
1811429,2020-08-26 20:00:00,102.0,55
2332388,2020-02-28 03:00:00,403.0,71
3679775,2020-04-22 23:00:00,23.0,112
4993047,2020-04-24 07:00:00,0.0,152
3196698,2021-05-19 03:00:00,70.0,97
3492286,2021-05-23 16:00:00,71.0,106
4212681,2021-03-06 01:00:00,109.0,128
3031211,2021-03-24 15:00:00,77.0,92
4235974,2020-02-02 15:00:00,175.0,129
3942386,2020-04-21 10:00:00,20.0,120
43953,2021-04-08 18:00:00,103.0,1
6443760,2021-01-05 12:00:00,312.0,196
5298107,2021-05-28 12:00:00,33.0,161
4376637,2021-02-25 18:00:00,40.0,133
1487753,2021-03-07 22:00:00,131.0,45
1059458,2021-01-04 18:00:00,1564.0,32
1382749,2020-06-09 15:00:00,402.0,42
3714237,2020-06-29 22:00:00,157.0,113
733801,2021-04-25 07:00:00,45.0,22
4970351,2021-06-20 14:00:00,2.0,151
2662340,2020-05-06 13:00:00,25.0,81
4408889,2021-02-01 15:00:00,57.0,134
3777875,2020-04-06 14:00:00,1.0,115
1618163,2021-01-28 20:00:00,444.0,49
2891174,2020-03-26 14:00:00,14.0,88
4504768,2020-10-15 17:00:00,67.0,137
6174555,2020-04-07 07:00:00,2.0,188
6086021,2021-05-27 06:00:00,6.0,185
3973125,2020-01-25 06:00:00,147.0,121
4896719,2020-07-23 12:00:00,75.0,149
1849654,2021-04-08 14:00:00,58.0,56
2726759,2020-03-15 18:00:00,158.0,83
467470,2020-11-22 20:00:00,336.0,14
3780703,2020-08-02 10:00:00,5.0,115
1218279,2020-05-27 12:00:00,5.0,37
6019896,2021-05-07 23:00:00,158.0,183
5986994,2021-05-05 00:00:00,587.0,182
2466675,2020-06-30 14:00:00,264.0,75
862634,2021-01-11 12:00:00,164.0,26
6732505,2020-03-30 22:00:00,87.0,205
5855383,2021-04-23 01:00:00,181.0,178
559422,2020-02-24 07:00:00,1.0,17
6866836,2020-08-03 05:00:00,1.0,209
853832,2020-01-10 18:00:00,497.0,26
5328432,2021-02-13 02:00:00,39.0,162
1751258,2021-04-12 15:00:00,187.0,53
7649744,2020-01-06 09:00:00,23.0,233
6666373,2020-03-11 08:00:00,11.0,203
5691512,2021-05-04 21:00:00,340.0,173
3580232,2020-03-10 05:00:00,48.0,109
7195509,2020-08-18 08:00:00,8.0,219
4606005,2021-02-07 01:00:00,500.0,140
5527243,2021-04-30 03:00:00,31.0,168
7390565,2020-05-29 22:00:00,406.0,225
6374957,2020-08-27 15:00:00,170.0,194
1676513,2020-03-30 04:00:00,8.0,51
7651585,2020-03-23 02:00:00,11.0,233
2141827,2020-11-21 20:00:00,609.0,65
5058742,2020-04-25 16:00:00,54.0,154
6503781,2020-05-15 11:00:00,9.0,198
4277505,2021-01-30 03:00:00,1097.0,130
7134408,2021-02-24 09:00:00,81.0,217
5455150,2020-08-05 04:00:00,44.0,166
1944464,2020-11-06 03:00:00,838.0,59
4538811,2020-12-05 05:00:00,21.0,138
299333,2020-06-09 22:00:00,413.0,9
6446046,2021-04-10 18:00:00,947.0,196
7490184,2020-07-15 20:00:00,214.0,228
7717203,2020-03-21 06:00:00,3.0,235
567233,2021-01-14 18:00:00,24.0,17
6840780,2021-05-12 12:00:00,184.0,208
7529745,2021-04-22 06:00:00,12.0,229
1646467,2020-07-24 05:00:00,38.0,50
6841508,2021-06-11 20:00:00,59.0,208
4705725,2021-03-30 04:00:00,50.0,143
7527437,2021-01-16 02:00:00,68.0,229
4863398,2020-07-03 02:00:00,101.0,148
1217911,2020-05-12 04:00:00,5.0,37
5058931,2020-05-03 13:00:00,44.0,154
