MT_196,MT_279,MT_362,MT_208,MT_228,MT_194,MT_220,MT_241,MT_163,MT_216,MT_276,MT_161,MT_191,MT_323,MT_213,MT_218,MT_328,MT_166,MT_314,MT_229,day_of_week,month,day_of_year,total_load
1150208.3333333328,1018719.9999999993,0.0,402957.98319327726,333052.6315789473,187563.55932203392,123417.72151898738,176320.98765432095,185345.6221198157,126102.99003322257,102282.97029702966,181478.39506172837,85956.83453237408,91902.68292682931,58184.38177874186,70086.95652173914,66992.59259259258,81493.29670329668,79387.64044943822,58701.700154559505,5,1,1,6852976.481360427
2129041.6666666665,1281806.6666666663,0.0,677563.025210084,492368.4210526316,298601.69491525425,283379.746835443,257444.44444444444,235624.42396313362,205355.48172757478,187192.87128712866,190947.53086419756,171791.36690647478,199692.43902439022,139631.23644251624,135141.77693761815,126029.62962962965,137967.25274725276,120466.29213483138,93435.85780525503,6,1,2,11141345.986967927
2183625.0,1249340.833333333,0.0,689890.7563025211,511315.7894736842,299288.13559322036,287088.60759493674,255037.03703703708,258801.84331797235,207209.3023255814,200282.7722772276,205320.98765432098,178669.06474820137,174931.95121951232,130624.72885032535,125020.79395085068,126733.33333333331,138373.73626373633,121320.22471910102,105516.22874806795,0,1,3,11249072.01299838
2273416.666666667,1276358.3333333326,0.0,699344.5378151261,520578.947368421,301766.94915254234,281924.05063291144,259790.12345679017,271896.31336405536,211797.34219269105,201675.14851485137,214240.74074074073,189992.80575539562,165876.58536585374,132004.33839479394,129192.81663516069,129348.1481481481,143018.35164835167,122578.65168539321,99043.27666151464,1,1,4,11467862.896161973
2271166.6666666665,1286061.6666666665,0.0,695117.6470588235,541157.8947368423,304788.13559322036,288379.746835443,260827.16049382713,257237.32718894008,213481.72757475084,183551.78217821775,213564.8148148148,206776.97841726613,177726.09756097567,132937.09327548806,134964.08317580342,130503.70370370371,142521.75824175827,123730.33707865165,102851.62287480681,2,1,5,11521747.12623962
2284333.333333333,1279183.3333333333,0.0,712016.8067226891,542000.0,309101.69491525425,288329.11392405065,268049.3827160493,298755.7603686636,214229.23588039866,194683.1683168315,217895.06172839509,207359.71223021578,176148.17073170745,133793.92624728853,138334.59357277883,133488.8888888889,145416.26373626373,125466.29213483146,103386.39876352392,3,1,6,11595178.35517964
2260374.9999999995,1266460.0000000002,0.0,716184.8739495798,554421.052631579,281161.0169491526,278303.7974683544,257098.76543209876,292497.6958525345,212611.29568106314,185142.17821782167,216938.27160493826,199208.6330935251,173039.024390244,140017.35357917566,142903.59168241965,134192.5925925926,140328.24175824175,124196.62921348312,101652.24111282841,4,1,7,11518760.79674565
2239250.0000000005,1284186.6666666667,0.0,710613.4453781513,533368.4210526316,281360.1694915255,278607.5949367089,255814.81481481486,263804.1474654378,213631.2292358804,202502.2772277227,208944.44444444444,188129.49640287767,170167.4390243904,143678.95878524944,144485.8223062382,131570.3703703704,143189.3406593407,124247.19101123596,100788.25347758888,5,1,8,11495238.654141637
2129291.666666667,1251153.3333333333,0.0,677319.3277310925,518368.4210526316,283279.66101694916,285455.69620253163,258419.75308641975,187096.7741935484,210408.63787375414,195441.78217821772,193317.90123456792,178143.8848920863,169533.90243902453,137668.11279826463,132189.03591682424,128496.2962962963,141183.29670329674,121095.50561797747,99092.73570324575,6,1,9,11027192.173319705
2215708.3333333335,1272118.3333333333,0.0,679882.3529411765,532368.4210526316,282533.89830508473,275278.4810126582,259691.35802469135,279108.29493087553,219710.9634551495,198949.7029702969,201490.74074074073,173985.61151079132,189191.70731707313,128104.12147505426,131383.74291115312,127725.92592592594,148464.06593406596,119415.73033707857,105523.95672333849,0,1,10,11280440.10559199
