Student Country,Type of Answer,Question Level,Topic,Subtopic
Ireland,0,Basic,Statistics,Statistics
Portugal,1,Basic,Statistics,Statistics
Portugal,1,Basic,Statistics,Statistics
Italy,0,Basic,Statistics,Statistics
Portugal,1,Basic,Statistics,Statistics
Portugal,1,Basic,Statistics,Statistics
Portugal,1,Basic,Statistics,Statistics
Portugal,1,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Lithuania,0,Basic,Statistics,Statistics
Italy,1,Basic,Statistics,Statistics
Italy,0,Basic,Statistics,Statistics
Ireland,0,Basic,Statistics,Statistics
Ireland,0,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Italy,0,Basic,Statistics,Statistics
Lithuania,0,Basic,Statistics,Statistics
Italy,0,Basic,Statistics,Statistics
Ireland,0,Basic,Statistics,Statistics
Ireland,0,Basic,Statistics,Statistics
Ireland,0,Basic,Statistics,Statistics
Ireland,0,Basic,Statistics,Statistics
Portugal,1,Basic,Statistics,Statistics
Portugal,1,Basic,Statistics,Statistics
Ireland,0,Basic,Statistics,Statistics
Portugal,1,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Portugal,1,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Italy,0,Basic,Statistics,Statistics
Ireland,1,Basic,Statistics,Statistics
Ireland,0,Basic,Statistics,Statistics
Italy,0,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Portugal,1,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Italy,0,Basic,Statistics,Statistics
Italy,0,Basic,Statistics,Statistics
Italy,0,Basic,Statistics,Statistics
Ireland,0,Basic,Statistics,Statistics
Ireland,0,Basic,Statistics,Statistics
Ireland,0,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Portugal,1,Basic,Statistics,Statistics
Portugal,1,Basic,Statistics,Statistics
Portugal,1,Basic,Statistics,Statistics
Portugal,0,Basic,Statistics,Statistics
Portugal,1,Basic,Statistics,Statistics
Portugal,1,Basic,Statistics,Statistics
Italy,1,Basic,Statistics,Statistics
Lithuania,0,Basic,Differentiation,Derivatives
Italy,0,Basic,Differentiation,Derivatives
Italy,0,Basic,Differentiation,Derivatives
Portugal,0,Basic,Differentiation,Derivatives
Portugal,0,Basic,Differentiation,Derivatives
Portugal,0,Basic,Differentiation,Derivatives
Portugal,0,Basic,Differentiation,Derivatives
Portugal,0,Basic,Differentiation,Derivatives
