platform_adi,kitle_fonlamasi_turu,kategori,fon_sekli,proje_sahibi_cinsiyet,kac_proje_destekledi,kac_projeye_abone,kac_projenin_sahibi,kac_proje_takiminda,konum,bolge,yil,gun_sayisi,tanitim_videosu,video_uzunlugu,gorsel_sayisi,sss,guncellemeler,yorumlar,destekci_sayisi,odul_sayisi,ekip_kisi_sayisi,web_sitesi,sosyal_medya,sm_sayisi,sm_takipci,etiket_sayisi,icerik_kelime_sayisi,hedef_miktari,basari_durumu
fongogo,ödül,diğer,ya hep ya hiç,belirsiz,1,0,1,0,istanbul,marmara,2014,62,var,104,1,0,4,0,150,11,4,yok,var,3,274,0,301,40000,başarılı
fongogo,ödül,diğer,ya hep ya hiç,belirsiz,3,0,2,0,istanbul,marmara,2015,60,yok,0,12,0,0,0,51,11,7,yok,var,3,5634,0,167,50000,başarılı
fongogo,ödül,diğer,ya hep ya hiç,kadın,0,0,2,1,belirsiz,belirsiz,2017,60,var,60,8,1,1,1,25,6,2,var,var,2,510,4,413,47000,başarılı
fongogo,ödül,diğer,ya hep ya hiç,kadın,0,0,1,0,muğla,ege,2019,60,var,67,6,0,0,0,45,7,1,var,var,2,3338,5,287,35000,başarılı
fongogo,ödül,diğer,ya hep ya hiç,kadın,2,0,1,0,istanbul,marmara,2019,60,var,149,5,0,0,0,105,8,6,yok,var,1,144,3,571,30000,başarılı
fongogo,ödül,diğer,ya hep ya hiç,belirsiz,0,0,1,0,istanbul,marmara,2015,30,var,185,16,0,0,0,218,8,1,var,var,2,21411,0,375,25000,başarılı
fongogo,ödül,diğer,ya hep ya hiç,kadın,0,0,1,0,diyarbakır,güneydoğu,2018,13,yok,0,15,0,3,0,183,9,3,yok,yok,0,0,0,937,15000,başarılı
fongogo,ödül,diğer,ya hep ya hiç,kadın,0,0,1,0,ankara,iç anadolu,2019,30,var,67,1,0,3,0,234,6,3,var,var,4,95796,0,963,18900,başarılı
fongogo,ödül,diğer,ya hep ya hiç,belirsiz,0,0,1,0,istanbul,marmara,2015,60,var,60,12,0,0,0,56,6,2,var,var,1,1906,0,708,10000,başarılı
fongogo,ödül,diğer,hepsi kalsın,erkek,0,0,1,0,izmir,ege,2018,60,var,101,15,0,0,0,66,6,1,var,var,4,51373,5,284,9200,başarılı
fongogo,ödül,diğer,ya hep ya hiç,kadın,0,0,1,0,istanbul,marmara,2014,30,yok,0,2,0,0,0,60,5,1,yok,var,2,0,0,269,7000,başarılı
fongogo,ödül,diğer,ya hep ya hiç,kadın,0,0,1,0,eskişehir,iç anadolu,2019,45,yok,0,1,0,0,0,37,9,6,yok,yok,0,0,10,490,5000,başarılı
fongogo,ödül,diğer,hepsi kalsın,belirsiz,0,0,3,0,istanbul,marmara,2014,31,yok,0,11,0,7,0,40,4,2,var,var,3,16951,0,333,5000,başarılı
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,istanbul,marmara,2019,60,var,5,7,0,1,0,13,8,1,var,var,1,816,5,222,3000,başarılı
fongogo,ödül,diğer,hepsi kalsın,belirsiz,0,0,1,0,istanbul,marmara,2018,60,var,300,7,0,0,0,20,7,1,var,var,4,51374,1,356,2795,başarılı
fongogo,ödül,diğer,ya hep ya hiç,erkek,3,0,7,0,istanbul,marmara,2016,15,yok,0,1,0,2,0,25,3,2,yok,yok,0,0,0,192,1250,başarılı
fongogo,ödül,diğer,ya hep ya hiç,kadın,1,0,1,0,istanbul,marmara,2018,30,yok,0,1,0,0,0,33,6,6,yok,var,1,4,2,101,1000,başarılı
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,istanbul,marmara,2020,53,var,33,0,0,0,0,0,6,2,yok,var,1,313,0,338,1000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,1,belirsiz,belirsiz,2018,60,yok,0,9,0,0,1,51,6,3,yok,yok,0,0,0,410,18000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,istanbul,marmara,2014,77,var,112,20,0,18,0,100,5,5,yok,var,3,1258,0,637,18000,başarısız
fongogo,ödül,diğer,hepsi kalsın,erkek,0,0,2,0,uşak,ege,2019,20,var,276,7,0,0,0,5,5,1,var,var,3,149,5,382,2000,başarısız
fongogo,ödül,diğer,hepsi kalsın,erkek,0,0,2,0,karabük,karadeniz,2019,17,var,276,16,0,0,0,7,6,1,var,var,3,149,0,378,3000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,çanakkale,marmara,2017,24,var,92,1,0,0,0,14,9,4,yok,var,1,115,5,584,2500,başarısız
fongogo,ödül,diğer,ya hep ya hiç,kadın,1,0,1,0,istanbul,marmara,2015,30,var,84,7,0,1,0,32,6,4,yok,var,2,8992,0,242,4900,başarısız
fongogo,ödül,diğer,ya hep ya hiç,kadın,0,0,1,1,belirsiz,belirsiz,2015,60,yok,0,2,0,0,0,14,6,3,yok,yok,0,0,0,254,5000,başarısız
fongogo,ödül,diğer,hepsi kalsın,kadın,1,0,1,0,istanbul,marmara,2020,60,var,181,1,0,0,0,50,8,1,yok,var,2,1578,4,407,50000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,belirsiz,0,0,1,0,istanbul,marmara,2015,60,yok,0,22,0,0,0,43,9,4,yok,var,2,101,0,345,25000,başarısız
fongogo,ödül,diğer,hepsi kalsın,kadın,0,0,1,0,muğla,ege,2019,15,var,276,8,0,0,0,6,6,2,var,var,2,38,4,549,3000,başarısız
fongogo,ödül,diğer,hepsi kalsın,erkek,0,0,1,0,istanbul,marmara,2020,30,var,86,6,0,0,0,17,4,1,yok,var,1,19400,5,104,20000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,1,0,1,0,istanbul,marmara,2018,60,yok,0,0,0,0,0,28,7,1,yok,yok,0,0,0,128,18000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,kadın,2,0,1,0,istanbul,marmara,2014,45,var,486,7,0,0,0,16,6,1,var,var,2,665,0,588,10000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,kadın,0,0,1,0,istanbul,marmara,2020,60,var,203,0,0,11,0,17,5,1,var,var,4,251,5,648,40000,başarısız
fongogo,ödül,diğer,hepsi kalsın,erkek,0,0,2,0,sivas,iç anadolu,2019,90,var,32,7,0,0,0,16,4,3,yok,var,1,789,0,244,2500,başarısız
fongogo,ödül,diğer,hepsi kalsın,belirsiz,0,0,3,0,istanbul,marmara,2014,90,var,1589,4,0,0,0,4,4,4,var,var,3,16952,0,254,4000,başarısız
